threads,worker,start_row,end_row,worker_ms,is_slowest,threaded_trial_ms,serial_ms,speedup
2,0,0,600,146.887,false,148.660,285.076,1.9176
2,1,600,1200,148.412,true,148.660,285.076,1.9176
3,0,0,400,59.051,false,182.039,295.630,1.6240
3,1,400,800,181.577,true,182.039,295.630,1.6240
3,2,800,1200,56.416,false,182.039,295.630,1.6240
4,0,0,300,28.459,false,115.083,284.849,2.4752
4,1,300,600,114.073,false,115.083,284.849,2.4752
4,2,600,900,114.298,true,115.083,284.849,2.4752
4,3,900,1200,27.611,false,115.083,284.849,2.4752
5,0,0,240,14.797,false,112.956,280.536,2.4836
5,1,240,480,74.739,false,112.956,280.536,2.4836
5,2,480,720,112.704,true,112.956,280.536,2.4836
5,3,720,960,73.546,false,112.956,280.536,2.4836
5,4,960,1200,14.490,false,112.956,280.536,2.4836
6,0,0,200,9.035,false,87.217,282.894,3.2436
6,1,200,400,54.853,false,87.217,282.894,3.2436
6,2,400,600,86.506,false,87.217,282.894,3.2436
6,3,600,800,86.836,true,87.217,282.894,3.2436
6,4,800,1000,52.583,false,87.217,282.894,3.2436
6,5,1000,1200,9.142,false,87.217,282.894,3.2436
7,0,0,171,7.110,false,83.210,280.832,3.3750
7,1,171,342,36.196,false,83.210,280.832,3.3750
7,2,342,513,62.464,false,83.210,280.832,3.3750
7,3,513,684,82.918,true,83.210,280.832,3.3750
7,4,684,855,65.012,false,83.210,280.832,3.3750
7,5,855,1026,36.853,false,83.210,280.832,3.3750
7,6,1026,1200,7.382,false,83.210,280.832,3.3750
8,0,0,150,5.436,false,70.928,279.438,3.9397
8,1,150,300,25.334,false,70.928,279.438,3.9397
8,2,300,450,47.969,false,70.928,279.438,3.9397
8,3,450,600,68.719,false,70.928,279.438,3.9397
8,4,600,750,70.679,true,70.928,279.438,3.9397
8,5,750,900,48.320,false,70.928,279.438,3.9397
8,6,900,1050,25.117,false,70.928,279.438,3.9397
8,7,1050,1200,5.461,false,70.928,279.438,3.9397
