view,threads,serial_ms,threaded_ms,speedup,min_worker_ms,max_worker_ms,imbalance_ratio
1,2,284.611,145.403,1.9574,144.303,145.330,1.0071
1,3,281.885,100.723,2.7986,94.115,100.653,1.0695
1,4,286.158,73.896,3.8724,70.846,73.583,1.0386
1,5,288.096,65.338,4.4093,56.334,65.137,1.1563
1,6,287.542,55.413,5.1891,52.460,55.197,1.0522
1,7,287.704,46.215,6.2253,42.284,45.839,1.0841
1,8,293.216,41.372,7.0873,39.133,40.296,1.0297
2,2,160.104,82.810,1.9334,81.252,82.562,1.0161
2,3,160.452,55.822,2.8744,53.013,55.745,1.0515
2,4,154.323,41.912,3.6821,39.415,41.471,1.0522
2,5,161.133,39.173,4.1134,32.284,38.458,1.1912
2,6,159.456,32.681,4.8792,27.040,32.550,1.2038
2,7,165.881,29.904,5.5471,24.698,29.770,1.2054
2,8,171.862,26.123,6.5790,24.421,25.738,1.0539
