view,threads,worker,start_row,stride,row_count,worker_ms
1,8,0,0,8,150,40.220
1,8,1,1,8,150,39.895
1,8,2,2,8,150,39.743
1,8,3,3,8,150,39.952
1,8,4,4,8,150,39.961
1,8,5,5,8,150,39.710
1,8,6,6,8,150,39.733
1,8,7,7,8,150,39.728
1,16,0,0,16,75,18.613
1,16,1,1,16,75,43.828
1,16,2,2,16,75,43.003
1,16,3,3,16,75,29.215
1,16,4,4,16,75,53.122
1,16,5,5,16,75,40.015
1,16,6,6,16,75,27.489
1,16,7,7,16,75,27.133
1,16,8,8,16,75,26.795
1,16,9,9,16,75,21.786
1,16,10,10,16,75,38.584
1,16,11,11,16,75,36.003
1,16,12,12,16,75,40.121
1,16,13,13,16,75,51.798
1,16,14,14,16,75,47.980
1,16,15,15,16,75,54.540
2,8,0,0,8,150,23.396
2,8,1,1,8,150,23.289
2,8,2,2,8,150,23.281
2,8,3,3,8,150,23.285
2,8,4,4,8,150,23.317
2,8,5,5,8,150,23.237
2,8,6,6,8,150,23.173
2,8,7,7,8,150,23.246
2,16,0,0,16,75,21.691
2,16,1,1,16,75,28.682
2,16,2,2,16,75,29.830
2,16,3,3,16,75,32.386
2,16,4,4,16,75,28.970
2,16,5,5,16,75,15.419
2,16,6,6,16,75,17.998
2,16,7,7,16,75,18.061
2,16,8,8,16,75,24.332
2,16,9,9,16,75,22.789
2,16,10,10,16,75,33.856
2,16,11,11,16,75,18.213
2,16,12,12,16,75,28.500
2,16,13,13,16,75,27.443
2,16,14,14,16,75,33.682
2,16,15,15,16,75,41.692
