task_count,view,run,serial_ms,ispc_ms,task_ms,serial_speedup,ispc_speedup
160,1,1,147.878,41.277,4.780,30.9368,8.6354
160,1,2,145.125,40.282,4.638,31.2904,8.6852
160,1,3,145.697,42.172,5.017,29.0407,8.4058
160,1,4,144.766,40.678,4.709,30.7424,8.6384
160,1,5,144.992,41.225,5.014,28.9174,8.2220
160,2,1,81.150,28.493,2.592,31.3079,10.9927
160,2,2,80.788,28.975,4.406,18.3359,6.5763
160,2,3,81.243,28.647,3.004,27.0449,9.5363
160,2,4,81.135,28.370,3.548,22.8678,7.9961
160,2,5,81.682,29.341,4.428,18.4467,6.6262
