task_count,serial_ms,ispc_ms,task_ms,serial_speedup,ispc_speedup
2,141.504,39.752,20.275,6.9792,1.9606
4,141.690,39.795,16.692,8.4885,2.3841
5,142.473,39.880,16.103,8.8476,2.4766
8,142.457,40.068,10.034,14.1974,3.9932
10,146.102,40.624,8.269,17.6686,4.9128
16,144.729,40.642,6.756,21.4223,6.0157
20,144.969,40.115,5.925,24.4673,6.7705
25,145.481,40.846,5.221,27.8646,7.8234
32,144.192,40.326,4.435,32.5123,9.0927
40,144.335,40.447,4.041,35.7176,10.0092
50,144.339,40.224,4.332,33.3193,9.2853
80,142.928,40.635,3.870,36.9323,10.5000
100,145.091,40.672,3.598,40.3255,11.3041
160,144.490,40.617,3.538,40.8395,11.4802
200,144.465,40.234,3.788,38.1375,10.6214
400,144.346,40.141,4.211,34.2783,9.5324
800,143.626,40.578,5.926,24.2366,6.8475
