task_count,view,run,serial_ms,ispc_ms,task_ms,serial_speedup,ispc_speedup
2,1,1,143.363,39.974,20.524,6.9851,1.9477
2,1,2,141.504,39.752,20.275,6.9792,1.9606
2,1,3,142.060,39.997,20.304,6.9967,1.9699
2,1,4,142.644,39.979,20.900,6.8251,1.9129
2,1,5,142.941,40.198,21.296,6.7121,1.8876
4,1,1,141.690,39.795,16.692,8.4885,2.3841
4,1,2,142.158,39.990,17.019,8.3529,2.3497
4,1,3,142.663,40.090,17.291,8.2507,2.3185
4,1,4,142.235,39.859,16.957,8.3880,2.3506
4,1,5,145.246,40.232,16.887,8.6011,2.3824
5,1,1,143.132,39.880,16.103,8.8885,2.4766
5,1,2,143.976,40.213,16.196,8.8896,2.4829
5,1,3,144.384,40.102,16.252,8.8841,2.4675
5,1,4,142.473,40.034,16.384,8.6959,2.4435
5,1,5,144.046,40.366,16.255,8.8616,2.4833
8,1,1,142.457,40.113,10.883,13.0899,3.6858
8,1,2,143.503,40.269,10.127,14.1703,3.9764
8,1,3,144.263,41.080,10.142,14.2243,4.0505
8,1,4,144.886,40.241,10.034,14.4395,4.0105
8,1,5,144.831,40.068,10.831,13.3719,3.6994
10,1,1,150.891,41.261,8.494,17.7644,4.8577
10,1,2,148.077,40.653,8.487,17.4475,4.7900
10,1,3,146.102,40.624,8.269,17.6686,4.9128
10,1,4,146.531,41.607,9.548,15.3468,4.3577
10,1,5,146.865,40.670,8.462,17.3558,4.8062
16,1,1,145.528,41.460,7.590,19.1736,5.4625
16,1,2,144.729,40.661,8.202,17.6456,4.9574
16,1,3,146.662,40.642,6.756,21.7084,6.0157
16,1,4,146.038,41.126,7.794,18.7372,5.2766
16,1,5,146.952,41.508,7.242,20.2916,5.7316
20,1,1,145.530,41.236,6.005,24.2348,6.8669
20,1,2,144.969,41.475,5.925,24.4673,7.0000
20,1,3,145.652,41.137,6.383,22.8187,6.4448
20,1,4,147.545,40.115,6.412,23.0108,6.2562
20,1,5,146.332,40.241,6.480,22.5821,6.2100
25,1,1,146.204,41.409,5.221,28.0031,7.9312
25,1,2,146.610,41.207,5.439,26.9553,7.5762
25,1,3,146.185,40.846,6.667,21.9267,6.1266
25,1,4,145.481,41.099,5.339,27.2487,7.6979
25,1,5,146.482,42.242,5.619,26.0691,7.5177
32,1,1,145.822,40.771,4.435,32.8798,9.1930
32,1,2,144.382,41.072,4.495,32.1206,9.1373
32,1,3,144.435,41.455,4.911,29.4105,8.4413
32,1,4,144.512,40.326,4.689,30.8194,8.6001
32,1,5,144.192,40.681,4.686,30.7708,8.6814
40,1,1,144.335,40.447,5.812,24.8340,6.9592
40,1,2,145.137,41.422,4.041,35.9161,10.2504
40,1,3,144.434,40.818,5.774,25.0145,7.0693
40,1,4,146.360,40.479,5.293,27.6516,7.6476
40,1,5,147.143,40.552,4.624,31.8216,8.7699
50,1,1,144.339,40.224,4.740,30.4513,8.4861
50,1,2,144.561,40.628,4.332,33.3705,9.3786
50,1,3,147.547,41.513,4.456,33.1120,9.3162
50,1,4,146.947,40.381,5.291,27.7730,7.6320
50,1,5,145.216,41.371,5.244,27.6918,7.8892
80,1,1,147.071,40.699,3.870,38.0028,10.5165
80,1,2,142.928,40.635,4.755,30.0585,8.5457
80,1,3,145.355,40.763,5.400,26.9176,7.5487
80,1,4,144.301,41.243,4.819,29.9442,8.5584
80,1,5,146.111,41.026,4.793,30.4842,8.5596
100,1,1,145.164,40.841,4.686,30.9782,8.7155
100,1,2,146.033,41.364,4.495,32.4879,9.2022
100,1,3,145.216,40.827,3.750,38.7243,10.8872
100,1,4,146.595,40.672,3.598,40.7435,11.3041
100,1,5,145.091,41.023,4.502,32.2281,9.1122
160,1,1,148.477,40.617,5.199,28.5588,7.8125
160,1,2,146.933,41.804,3.538,41.5300,11.8157
160,1,3,144.889,40.979,4.459,32.4936,9.1902
160,1,4,146.373,40.735,5.522,26.5072,7.3769
160,1,5,144.490,41.163,4.829,29.9213,8.5241
200,1,1,146.382,41.196,6.585,22.2296,6.2560
200,1,2,144.817,41.266,5.401,26.8130,7.6404
200,1,3,147.484,41.365,5.973,24.6918,6.9253
200,1,4,144.465,40.234,3.788,38.1375,10.6214
200,1,5,145.135,43.738,4.602,31.5374,9.5041
400,1,1,144.969,41.139,6.106,23.7421,6.7375
400,1,2,144.847,42.175,5.431,26.6704,7.7656
400,1,3,145.793,42.247,4.211,34.6219,10.0325
400,1,4,144.346,40.141,4.733,30.4978,8.4811
400,1,5,144.972,41.342,7.588,19.1054,5.4483
800,1,1,145.877,41.576,5.926,24.6164,7.0159
800,1,2,147.670,41.386,7.566,19.5176,5.4700
800,1,3,147.879,41.111,6.744,21.9275,6.0959
800,1,4,146.016,41.470,6.842,21.3411,6.0611
800,1,5,143.626,40.578,6.213,23.1170,6.5311
